Episode,Score
341,-63.71024295056091
342,299.9048160613187
343,149.64939967815098
344,133.19624746538437
345,356.5506774663116
346,637.0932829949033
347,142.23864401317334
348,411.0625456298258
349,413.3575512886914
350,96.98805772530126
351,326.6908711853462
352,50.63566343333349
353,93.94729057881273
354,-3.344713950193527
355,-72.57963041801153
356,-9.170765425678152
357,83.82947635085421
358,143.882155289921
359,51.07760977172294
360,158.18955629786464
361,48.71710851590919
362,33.250918618203265
363,-54.00985783497446
364,58.44708784902209
365,-17.024670041600267
366,92.6388550276878
367,-128.8165827052246
368,-94.48231648489282
369,-141.48931904808944
370,141.87599793164847
371,219.9833878826965
372,33.728686343702336
373,227.26383771303696
374,25.89893140087938
375,240.8515490614344
376,77.7890786011334
377,-50.06329490982786
378,116.26264940895216
379,-14.893330871145515
380,-14.734427461854237
381,-62.37445967418604
382,172.16300372388972
383,148.6781862651016
384,-109.33910492571762
385,140.982695153248
386,105.11981358750764
387,174.70306432343662
388,-73.1165205590757
389,11.44899422129935
390,-115.26979826890054
391,23.03456146981768
392,-14.607015556102926
393,47.86653017296023
394,-11.914522390047088
395,39.33383361586983
396,76.42381974550625
397,28.444153359179232
398,421.1371658007125
399,-152.119234888689
400,107.45100390782603
401,51.85647653702073
402,-24.84863145952369
403,10.080338361950352
404,89.86273968869696
405,350.69528164966914
406,314.03602120058804
407,567.0951357897984
408,295.5476171843261
409,-162.27829591122853
410,359.11613864270976
411,191.44917490075767
412,-13.760162592642647
413,268.70709732296154
414,266.89896500284414
415,518.0527796978546
416,561.773463901396
417,354.31260025753096
418,226.08405602091435
419,411.6100755467056
420,165.11385847270898
421,148.39257390318687
422,357.70824430206744
423,156.06892290856408
424,189.6143823872993
425,298.9292081856443
426,297.5585170990108
427,70.1738518642476
428,221.57230804468963
429,360.83225046258593
430,141.43738509712003
431,120.89264160504132
432,-131.01153891674502
433,171.3858981401919
434,232.64155224526684
435,645.4057785835994
436,601.4037551416139
437,308.60492638692017
438,409.4982704479961
439,314.26814591299467
440,424.79554393632833
441,217.824572662991
442,436.3839460094378
443,407.86426806173705
444,310.620021595904
445,299.86259959250503
446,478.2026063504169
447,566.7335575689816
448,403.8807468282278
449,382.6037859621932
450,388.9658621975085
451,419.3491450226853
452,399.2390793546999
453,613.5235724675771
454,852.017388140523
455,287.252642433118
456,759.233209137414
457,414.4830060221591
458,822.5101631641709
459,52.573506472962336
460,360.3949417675015
461,153.09192216284646
462,153.31443333222094
463,-48.269773259545325
464,2567.9524912901074
465,35.2235195368608
466,389.0350090929642
467,343.79650026175307
468,346.6531426141429
469,69.15666843345824
470,207.09916067179935
471,245.39892001263772
472,457.66299694627145
473,42.33878425707273
474,-62.69987037014565
475,308.6544853124527
476,313.8461851858181
477,73.51796804446903
478,358.96407970087074
479,243.76800377003704
480,91.066624243366
481,140.75372442907985
482,514.5714916699801
483,97.08494437468894
484,-301.77678797624094
485,-68.92984482635363
486,-291.41798329711617
487,-266.12601298459566
488,-302.5870031634449
489,-338.82991743401425
490,-378.6031436778835
491,-352.09370180830416
492,-309.92702432276184
493,-229.6946916911154
494,-189.39621011928955
495,-285.8298668804689
496,-243.11305240234412
497,-282.26982544819134
498,-285.5430465322751
499,-110.15900166513944
500,-296.0287798306149
501,-279.8625469872775
502,-302.2099634706341
503,-320.52447807807744
504,-343.7489445036918
505,-325.16416604316424
506,-384.0459499898796
507,-372.1647351474709
508,-332.0675120586275
509,-337.1690922437368
510,-334.9610241666466
511,-324.9961330586892
512,-334.509625513224
513,-335.36103163811634
514,-341.1299779103732
515,-326.0894382662015
516,-336.9572129459142
517,-324.0801194890776
518,-335.17715844276324
519,-308.34288921319853
520,-231.16427993482904
521,-446.1138328901269
522,-326.1478819114806
523,-389.929109480548
524,-346.7891359592367
525,-371.3450572021323
526,-386.2848899801145
527,-452.2557227136403
528,-460.8836811438371
529,-460.91684891175584
530,-493.5409964796922
531,-366.5970937390472
532,-484.0011660352787
533,-368.1643839886065
534,-460.5607822339581
535,-469.242253022137
536,-245.7100997246416
537,-454.86038187088496
538,-459.50909818546944
539,-247.8003091020352
540,-434.2974802086779
541,-378.2712761626586
542,-254.8163432005548
543,-393.9500971113966
544,-246.1552363728808
545,-320.28908232506643
546,-359.4497207551066
547,-317.2532126566192
548,-234.647350546022
549,-333.3566183363056
550,-280.7609437259208
551,-246.21347758019243
552,-265.2611612433839
553,-246.50386012200616
554,-254.3474982540536
555,-245.87679819943625
556,-412.0302227486916
557,-324.4953683271605
558,-408.3318060405098
559,-384.4989486742307
560,-348.7551777291899
561,-383.2127151570255
562,-413.1771814339924
563,-384.1374774108535
564,-378.45899465714615
565,-371.6810467872488
566,-367.3076692017439
567,-357.7972697151214
568,-375.8283693128113
569,-378.3283383857655
570,-353.85362552877984
571,-305.4343661514002
572,-305.9565734498786
573,-321.5015492663669
574,-316.8128502030924
575,-263.3744005314455
576,-293.2455451965499
577,-294.55384503158353
578,-268.2260947723242
579,-337.9442511051787
580,-372.9629542036858
581,-373.17486936956186
582,-355.5043068220435
583,-364.0494819380474
584,-374.7627331089675
585,-355.3986280365749
586,-369.02572025336383
587,-361.6100338046775
588,-319.9656100480898
589,-306.4043678418953
590,-347.1032297807737
591,-292.4657131078022
592,-303.5044689709138
593,-344.2237437428682
594,-372.5284783088644
595,-326.2941283331768
596,-432.3822514158635
597,-290.6068892121051
598,-311.26654103661224
599,-260.6409330514119
600,-363.1829058207317
601,-292.32590589444146
602,-342.00726738757146
603,-233.9620480009301
604,-310.8300831703729
605,-292.7713256157415
606,-121.0931100393435
607,273.1540080014509
608,167.70622364505743
609,144.47734813010752
610,-9.676460304488112
611,114.5191717095147
612,-162.30647513113695
613,139.6436490771944
614,-25.437587588563847
615,-159.65113768894554
616,-238.509303162423
617,-157.5432040559426
618,-1.0702962999295609
619,-388.2203791192586
620,-178.7003389066565
621,-349.7063456028484
622,-265.7084962293843
623,-162.81143364176486
624,-130.88755276968257
625,-56.36771999525036
626,-164.38726200796833
627,-236.31628416440063
628,-260.8985570728317
629,-384.77733030824623
630,-554.4507205099558
631,-352.0705604575067
632,-580.1864552475522
633,-558.0758515229187
634,-558.480293579553
635,-162.54323131694335
636,-452.1027612048928
637,-350.83717531272737
638,-322.2233459000455
639,-90.209621440253
640,-52.11335237987048
641,111.0782943006472
642,12.090080064940649
643,-300.26611691886853
644,-463.113598686299
645,-497.4219654919826
646,-538.6011546560339
647,-461.0609598971879
648,-369.3723639258631
649,-426.4871209586902
650,-242.2177733340839
651,-467.6353267384495
652,-326.1075076016607
653,-408.4579445678361
654,-376.52958496680577
655,-340.3290916414573
656,-351.93411105871434
657,-570.5653042524667
658,-541.1647803360491
659,-551.2179912754038
660,-532.6691815546047
661,-527.4816051028557
662,-529.7907913363016
663,-538.3887993427705
664,-513.531005991637
665,-542.3598729947579
666,-547.2469964153423
667,-531.6968265497642
668,-513.035146189043
669,-542.2959826897625
670,-529.0748319470094
671,-520.866670713269
672,-399.624280144014
673,-538.9139502517818
674,-510.9334857770735
675,-521.1321592069239
676,-533.1820344908338
677,-531.4680315702088
678,-521.3092863979044
679,-504.1604411455446
680,-479.3150852064509
681,-492.1226190599885
682,-465.7037219863791
683,-469.67177565997264
684,-524.3957897301051
685,-536.5392719642964
686,-550.9884697897095
687,-551.2671759545337
688,-554.3502223647218
689,-554.4580289461397
690,-552.4285865056863
691,-547.8710800300778
692,-532.2068393502434
693,-537.5230695274649
694,-518.3470674557269
695,-523.9564211800406
696,-513.7729045542017
697,-511.694714774532
698,-449.6225153619859
699,-490.53225884779664
700,-453.9430421556378
701,-463.8254232094215
702,-466.69485923202313
703,-416.69946264241065
704,-251.0039470797168
705,-237.951369278529
706,-240.10684205627155
707,-256.35691792265004
708,-261.90477999874645
709,-287.4943101968529
710,-266.01393141146593
711,-315.79361635514425
712,-267.34223347738407
713,-280.72875406594966
714,-274.254059623671
715,-280.0603122219675
716,-293.7580119585935
717,-293.8296806989764
718,-279.20181556993947
719,-264.37070234818214
720,-261.355327481487
721,-273.1357755935681
722,-274.310341257916
723,-275.39173219900607
724,-272.7080811918693
725,-288.10694938291914
726,-292.1539766212598
727,-311.76944543069806
728,-307.1034759671568
729,-300.9265675500281
730,-286.11588582722703
731,-287.5223579003176
732,-272.5133643695138
733,-300.4890968362741
734,-297.78698605229613
735,-355.6793226365795
736,-338.1094162116004
737,-367.13767437377646
738,-326.4731768271925
739,-309.8104066462113
740,-360.9361660476862
741,-341.32167324408545
742,-378.1196331544507
743,-361.0858282841222
744,-324.5217160280485
745,-320.5117295959454
746,-312.4825702330102
747,-313.8230387502788
748,-285.1886474327082
749,-317.99026105409376
750,-306.0759847504784
751,-291.1526555551757
752,-284.80728909771955
753,-328.28201783791445
754,-301.12999875321606
755,-343.9995533677565
756,-374.7655615857987
757,-332.316562651735
758,-317.16344547699185
759,-346.6957853716401
760,-290.6880665420022
761,-310.3027467693128
762,-318.3311356135473
763,-320.9481922958587
764,-326.0502288918404
765,-320.2830047509836
766,-328.66802650941884
767,-363.9919078883372
768,-363.3810314249613
769,-355.64287139273574
770,-368.1263437681242
771,-324.9348235265836
772,-368.34428474155067
773,-332.2508344577172
774,-334.2111981463934
775,-344.67061014791227
776,-318.3950030480379
777,-286.98096796014687
778,-310.85960483834265
779,-314.78006703053813
780,-312.1355059826859
781,-331.0485184991739
782,-313.4549026907508
783,-319.9680741824334
784,-328.38093496585753
785,-352.8655475164571
786,-328.5171363263151
787,-336.2861855785842
788,-330.191083766133
789,-341.4705394715624
790,-318.6679241347257
791,-355.2835563386978
792,-375.1963520386215
793,-322.21346105797124
794,-377.2437757027825
